departamento;t_completo;t_ocasional;hora_catedra;anio;periodo;formacion
3;1;2;26;2013;2;4
5;4;0;0;2013;2;1
5;7;1;8;2013;2;2
5;0;1;2;2013;2;3
5;0;0;0;2013;2;4
6;4;0;0;2013;2;1
6;7;1;5;2013;2;2
6;0;1;1;2013;2;3
6;0;2;3;2013;2;4
16;0;0;0;2013;2;1
16;5;0;1;2013;2;2
16;0;2;2;2013;2;3
16;0;0;2;2013;2;4
17;0;0;0;2013;2;1
17;1;0;2;2013;2;2
17;1;0;32;2013;2;3
17;0;1;11;2013;2;4
7;0;0;0;2013;2;1
7;5;0;3;2013;2;2
7;2;4;3;2013;2;3
7;2;1;0;2013;2;4
8;1;0;0;2013;2;1
8;2;0;3;2013;2;2
8;2;3;12;2013;2;3
8;0;0;3;2013;2;4
9;1;0;0;2013;2;1
9;2;0;2;2013;2;2
9;1;1;6;2013;2;3
9;0;0;1;2013;2;4
10;2;0;0;2013;2;1
10;3;0;6;2013;2;2
10;0;0;4;2013;2;3
10;0;1;1;2013;2;4
11;1;0;0;2013;2;1
11;10;1;3;2013;2;2
11;0;0;0;2013;2;3
11;0;0;2;2013;2;4
12;1;0;0;2013;2;1
12;3;0;0;2013;2;2
12;1;2;0;2013;2;3
12;0;0;1;2013;2;4
13;5;0;0;2013;2;1
13;9;4;8;2013;2;2
13;1;0;20;2013;2;3
13;0;0;38;2013;2;4
14;2;0;0;2013;2;1
14;5;0;10;2013;2;2
14;0;1;3;2013;2;3
14;0;2;6;2013;2;4
15;1;0;0;2013;2;1
15;6;0;0;2013;2;2
15;0;0;3;2013;2;3
15;0;0;1;2013;2;4
18;5;0;1;2013;2;1
18;5;4;4;2013;2;2
18;2;0;1;2013;2;3
18;0;0;5;2013;2;4
19;5;0;0;2013;2;1
19;4;2;3;2013;2;2
19;1;0;4;2013;2;3
19;0;1;7;2013;2;4
20;4;0;0;2013;2;1
